Site Name,Site ID,Circuit Purpose,DSR Provider,ARIN Provider,Match Status,Match Score,DSR Speed,DSR Cost,Meraki Notes (Parsed),WAN1 Notes Provider,WAN1 Notes Speed,WAN2 Notes Provider,WAN2 Notes Speed,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
TXD 08,TXD 08 -B,Secondary,EB2-Frontier Fiber,Charter Communications,No Match,42,500.0M x 500.0M,$245.00,WAN 1 | Spectrum | 750.0M x 35.0M | WAN 2 | EB2-Frontier Fiber | 500.0M x 500.0M,Spectrum,750.0M x 35.0M,EB2-Frontier Fiber,500.0M x 500.0M,47.190.40.171,Unknown,98.6.82.238,Charter Communications,192.168.254.12,Private IP
TXD 33,TXD 33,Primary,Spectrum,Private IP,No Match,40,750.0M x 35.0M,$244.45,WAN 1 | Spectrum | 750.0M x 35.0M,Spectrum,750.0M x 35.0M,,,97.105.4.198,Unknown,192.168.1.4,Private IP,,
TXD 33,TXD 33 -B,Secondary,AT&T Broadband II,Private IP,No Match,50,300.0M x 300.0M,$105.01,WAN 1 | Spectrum | 750.0M x 35.0M,Spectrum,750.0M x 35.0M,,,71.138.16.1,Unknown,192.168.1.4,Private IP,,
TXD 71,TXD 71 -B,Secondary,VZW Cell,AT&T,No Match,17,300.0M x 300.0M,$105.01,WAN 1 | AT&T Broadband II | 300.0M x 300.0M | WAN 2 | VZW Cell | Cell,AT&T Broadband II,300.0M x 300.0M,VZW Cell Cell,,162.205.137.169,WAN1,162.205.137.169,AT&T,192.168.0.151,Private IP
TXD 81,TXD 81 -B,Secondary,EB2-Frontier Fiber,Charter Communications,No Match,42,500.0M x 500.0M,$245.00,WAN 1 | EB2-Frontier Fiber | 500.0M x 500.0M | WAN 2 | Spectrum | 750.0M x 35.0M,EB2-Frontier Fiber,500.0M x 500.0M,Spectrum,750.0M x 35.0M,47.190.112.121,Unknown,192.168.254.121,Private IP,70.115.32.30,Charter Communications
TXD 90,TXD 90,Primary,East Texas Broadband,Private IP,No Match,40,300.0M x 300.0M,$300.00,WAN 1 | East Texas Broadband | 300.0M x 300.0M | WAN 2 | CenturyLink | 40.0M x 5.0M,East Texas Broadband,300.0M x 300.0M,CenturyLink,40.0M x 5.0M,NaN,Unknown,172.16.52.14,Private IP,71.37.162.185,CenturyLink
TXD 93,TXD 93,Primary,Altice West,Classic Communications,No Match,47,300.0M x 50.0M,$106.67,WAN 1 | DSR Altice | 300.0M x 50.0M | WAN 2 | DSR CLink DSL | 80.0M x 10.0M,Altice,300.0M x 50.0M,CLink DSL,80.0M x 10.0M,64.72.38.133,WAN1,64.72.38.133,Classic Communications,192.168.0.45,Private IP
TXG 02,TXG 02- B,Secondary,VZW Cell,"Consolidated Communications, Inc.",No Match,33,300.0M x 300.0M,$469.00,WAN 1 | Consolidated Communications | 300.0M x 300.0M | WAN 2 | VZW Cell | Cell,Consolidated Communications,300.0M x 300.0M,VZW Cell Cell,,156.47.166.66,WAN1,156.47.166.66,"Consolidated Communications, Inc.",192.168.0.151,Private IP
TXH00,TXH00,Primary,Comcast Workplace,,No Match,0,300.0M x 30.0M,$175.56,,,,,,96.85.28.9,Unknown,,,,
TXH00,TXH00 -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,162.201.19.73,Unknown,,,,
TXH 04,TXH 04- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast,AT&T Broadband II,1000.0M x 1000.0M,Comcast,,99.125.136.1,WAN1,99.125.136.1,AT&T,96.79.187.121,Comcast
TXH 05,TXH 05- B,Secondary,Comcast,AT&T,No Match,57,300.0M x 300.0M,$105.01,WAN 1 | AT&T Broadband II | 300.0M x 300.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,300.0M x 300.0M,Comcast,300.0M x 35.0M,99.110.95.201,WAN1,99.110.95.201,AT&T,96.73.96.237,Comcast
TXH 41,TXH 41- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,162.236.70.129,WAN1,162.236.70.129,AT&T,96.73.99.97,Comcast
TXH 45,TXH 45,Primary,Comcast Workplace,LONE STAR ICE HOUSE,No Match,40,750.0M x 35.0M,$234.45,WAN 1 | Comcast Workplace | 750.0M x 35.0M | WAN 2 | Digi | Cell,Comcast Workplace,750.0M x 35.0M,Digi Cell,,50.194.168.221,WAN1,50.194.168.221,LONE STAR ICE HOUSE,192.168.2.249,Private IP
TXH 52,TXH 52- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,68.74.126.121,WAN1,68.74.126.121,AT&T,50.210.208.249,Comcast
TXH 55,TXH 55- B,Secondary,"Comcast Cable Communications, LLC",AT&T,No Match,50,1000.0M x 1000.0M,$165.01,"WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast Cable Communications, LLC",AT&T Broadband II,1000.0M x 1000.0M,Comcast Cable Communications LLC,,108.223.37.121,WAN1,108.223.37.121,AT&T,96.73.120.17,Comcast
TXH 56,TXH 56- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,172.10.171.81,WAN1,172.10.171.81,AT&T,96.77.159.245,Comcast
TXH 62,TXH 62 -B,Secondary,AT&T Broadband II,Charter Communications,No Match,50,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Spectrum | 750.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Spectrum,750.0M x 35.0M,108.254.202.153,Unknown,,,24.173.224.254,Charter Communications
TXH 65,TXH 65- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,108.210.135.209,WAN1,108.210.135.209,AT&T,50.249.68.153,Comcast
TXH 66,TXH 66,Primary,Comcast Workplace,PPO CHECK,No Match,43,750.0M x 35.0M,$234.45,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast Workplace | 750.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast Workplace,750.0M x 35.0M,50.197.216.105,WAN2,99.125.139.25,AT&T,50.197.216.105,PPO CHECK
TXH 74,TXH 74,Primary,Altice,Private IP,No Match,50,500.0M x 50.0M,$212.77,WAN 1 | Optimum | WAN 2 | VZW Cell | Cell,Optimum,,VZW Cell Cell,,208.180.4.110,Unknown,192.168.1.243,Private IP,192.168.0.151,Private IP
TXH 80,TXH 80,Primary,Comcast Workplace,FIDELITY NATIONAL TITLE,No Match,37,750.0M x 35.0M,$234.45,WAN 1 | Comcast Workplace | 750.0M x 35.0M | WAN 2 | VZW Cell | Cell,Comcast Workplace,750.0M x 35.0M,VZW Cell Cell,,23.30.65.17,WAN1,23.30.65.17,FIDELITY NATIONAL TITLE,166.168.231.225,Verizon
TXH 81,TXH 81,Primary,Rise Broadband,"JAB Wireless, INC.",No Match,33,15.0M x 3.0M,$149.95,WAN 1 | Metronet | 300.0M x 300.0M | WAN 2 | Rise Broadband | 15.0M x 3.0M,Metronet,300.0M x 300.0M,Rise Broadband,15.0M x 3.0M,216.228.69.228,WAN2,195.252.236.111,Metronet,216.228.69.228,"JAB Wireless, INC."
TXH 88,TXH 88,Primary,Comcast Workplace,VESCO BUSINESS PRODUCTS,No Match,30,300.0M x 30.0M,$186.18,WAN 1 | Comcast Workplace | 300.0M x 30.0M | WAN 2 | AT&T Broadband II | 300.0M x 300.0M,Comcast Workplace,300.0M x 30.0M,AT&T Broadband II,300.0M x 300.0M,74.95.150.225,WAN1,74.95.150.225,VESCO BUSINESS PRODUCTS,68.253.20.105,AT&T
TXH 92,TXH 92- B,Secondary,Brightspeed,Private IP,No Match,44,80.0M x 10.0M,$149.99,"WAN 1 | Comcast Workplace | 300.0M x 25.0M | WAN 2 | CenturyLink Communications, LLC",Comcast Workplace,300.0M x 25.0M,CenturyLink Communications LLC,,71.37.162.209,Unknown,96.88.62.237,Comcast,192.168.0.2,Private IP
TXH SE Flex DTU,TXH SE Flex DTU,Primary,Comcast Workplace,Private IP,No Match,40,750.0M x 35.0M,$234.45,WAN 1 | Warehouse for Regional Facilities,Warehouse for Regional Facilities,,,,50.209.109.209,Unknown,10.1.10.143,Private IP,,
TXH Training,TXH Training,Primary,Comcast Workplace,,No Match,0,300.0M x 30.0M,$175.56,,,,,,75.148.163.185,Unknown,,,,
TXHW00,TXHW00,Primary,Comcast Workplace,,No Match,0,750.0M x 35.0M,$234.45,,,,,,50.210.214.113,Unknown,,,,
TXHW00,TXHW00 -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,99.164.140.169,Unknown,,,,
TXM 03,TXM 03,Primary,Altice,AT&T,No Match,57,300.0M x 30.0M,$170.22,WAN 1 | AT&T Broadband II | 300.0M x 300.0M | WAN 2 | Altice | 300.0M x 30.0M,AT&T Broadband II,300.0M x 300.0M,Altice,300.0M x 30.0M,208.180.5.183,Unknown,172.7.186.105,AT&T,192.168.1.69,Private IP
TXS 00,TXS 00 -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,104.4.85.177,Unknown,,,,
TXS000,TXS 00,Primary,Spectrum,,No Match,0,750.0M x 35.0M,$244.45,,,,,,71.78.86.2,Unknown,,,,
TXS 09,TXS 09 -B,Secondary,Spectrum,STARBUCKS,No Match,57,750.0M x 35.0M,$172.23,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Spectrum | 750.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Spectrum,750.0M x 35.0M,71.41.12.254,WAN2,76.255.15.17,AT&T,71.41.12.254,STARBUCKS
TXS 23,TXS 23- B,Secondary,GVTC Communications,"Guadalupe Valley Telephone Cooperative,",No Match,39,250.0M x 250.0M,$74.95,WAN 1 | Spectrum | 750.0M x 35.0M | WAN 2 | GVTC Communications | 250.0M x 250.0M,Spectrum,750.0M x 35.0M,GVTC Communications,250.0M x 250.0M,69.166.64.173,WAN2,67.78.107.122,Charter Communications,69.166.64.173,"Guadalupe Valley Telephone Cooperative,"
TXS 26,TXS 26-B,Secondary,GVTC Communications,GVTC-DIALUP DYNAMIC POOL,No Match,44,500.0M x 250.0M,$249.95,WAN 1 | GVTC Communications | 500.0M x 250.0M | WAN 2 | Spectrum | 750.0M x 35.0M,GVTC Communications,500.0M x 250.0M,Spectrum,750.0M x 35.0M,216.177.186.153,WAN1,216.177.186.153,GVTC-DIALUP DYNAMIC POOL,70.116.227.178,Charter Communications
TXW 04,TXW 04,Primary,Altice,AT&T,No Match,57,500.0M x 50.0M,$212.77,WAN 1 | Altice | 500.0M x 50.0M | WAN 2 | AT&T Broadband II | 300.0M x 300.0M,Altice,500.0M x 50.0M,AT&T Broadband II,300.0M x 300.0M,173.219.174.18,Unknown,192.168.1.118,Private IP,107.220.35.249,AT&T
TXW 08,TXW 08,Primary,Harris Broadband,"Grande Communications Networks, LLC",No Match,38,500.0M x 20.0M,$89.95,WAN 1 | Harris Broadband | 500.0M x 20.0M | WAN 2 | Unite Private Networks | 300.0M x 300.0M,Harris Broadband,500.0M x 20.0M,Unite Private Networks,300.0M x 300.0M,199.16.97.109,WAN1,199.16.97.109,"Grande Communications Networks, LLC",208.82.106.10,Unite Private Networks LLC.
TXW 09,TXW 09 -B,Secondary,Vexus,NTSC,No Match,40,100.0M x 100.0M,$99.95,WAN 1 | Altice | 500.0M x 50.0M | WAN 2 | Vexus | 100.0M x 100.0M,Altice,500.0M x 50.0M,Vexus,100.0M x 100.0M,38.158.182.200,WAN2,66.76.178.81,Optimum,38.158.182.200,NTSC
UTS 00,UTS 00,Primary,Zayo Communications,,No Match,0,100.0M x 100.0M,$495.00,,,,,,209.66.104.34,Unknown,,,,
UTS 03,UTS 03- B,Secondary,EB2-Lumen DSL,CenturyLink,No Match,33,140.0M x 20.0M,$151.00,WAN 1 | Comcast Workplace | 750.0M x 35.0M | WAN 2 | EB2-Lumen DSL | 140.0M x 20.0M,Comcast Workplace,750.0M x 35.0M,EB2-Lumen DSL,140.0M x 20.0M,65.100.251.41,WAN2,96.73.12.109,Comcast,65.100.251.41,CenturyLink
UTS 04,UTS 04- B,Secondary,EB2-Lumen DSL,CenturyLink,No Match,33,100.0M x 10.0M,$128.00,WAN 1 | Comcast Workplace | 300.0M x 25.0M | WAN 2 | EB2-Lumen DSL | 100.0M x 10.0M,Comcast Workplace,300.0M x 25.0M,EB2-Lumen DSL,100.0M x 10.0M,65.100.242.193,WAN2,173.10.21.245,Comcast,65.100.242.193,CenturyLink
UTS 05,UTS 05- B,Secondary,Centracom,Private Customer,No Match,47,500.0M x 500.0M,$350.00,WAN 1 | Comcast Workplace | 750.0M x 35.0M | WAN 2 | Centracom | 500.0M x 500.0M,Comcast Workplace,750.0M x 35.0M,Centracom,500.0M x 500.0M,204.225.31.253,WAN2,96.86.214.241,Comcast Cable Communications,204.225.31.253,Private Customer
UTS 07,UTS 07- B,Secondary,DSR Lumen DSL,Private IP,No Match,25,80.0M x 10.0M,$128.00,WAN 1 | Comcast | 300.0M x 35.0M | WAN 2 | DSR Lumen DSL | 80.0M x 10.0M,Comcast,300.0M x 35.0M,Lumen DSL,80.0M x 10.0M,65.100.251.193,Unknown,96.92.90.13,Comcast,192.168.0.5,Private IP
UTS 09,UTS 09- B,Secondary,EB2-Centurylink DSL,MindQuest,No Match,33,100.0M x 10.0M,$128.00,WAN 1 | Comcast Workplace | 750.0M x 35.0M | WAN 2 | EB2-Centurylink DSL | 100.0M x 10.0M,Comcast Workplace,750.0M x 35.0M,EB2-Centurylink DSL,100.0M x 10.0M,65.100.241.249,WAN2,96.86.207.181,Comcast,65.100.241.249,MindQuest
UTS 11,UTS 11- B,Secondary,Centracom,Private Customer,No Match,47,300.0M x 30.0M,$370.00,WAN 1 | Comcast | 300.0M x 30.0M | WAN 2 | Centracom | 300.0M x 30.0M,Comcast,300.0M x 30.0M,Centracom,300.0M x 30.0M,64.77.208.93,WAN2,50.198.188.101,Comcast,64.77.208.93,Private Customer
UTS 12,UTS 12,Primary,TDS Cable,Frontier Communications,No Match,33,500.0M x 100.0M,$209.00,WAN 1 DSR TDS Cable - 3rd Party Cable Ordered Speed 500.0M x 100.0M | WAN 2 Digi Cell,TDS Cable - 3rd Party Cable Ordered Speed,500.0M x 100.0M,Digi Cell,,184.61.190.6,WAN1,184.61.190.6,Frontier Communications,192.168.2.240,Private IP
UTS 16,UTS 16- B,Secondary,EB2-Lumen DSL,Crossroads Plaza Associates,No Match,18,100.0M x 10.0M,$128.00,WAN 1 | Comcast | 300.0M x 30.0M | WAN 2 | EB2-Lumen DSL | 100.0M x 10.0M,Comcast,300.0M x 30.0M,EB2-Lumen DSL,100.0M x 10.0M,65.100.251.161,WAN2,96.73.18.105,Comcast,65.100.251.161,Crossroads Plaza Associates
UTS 20,UTS 20- B,Secondary,First Digital,Private IP,No Match,44,500.0M x 35.0M,$230.00,WAN 1 | Comcast Workplace | 300.0M x 25.0M | WAN 2 | First Digital | Cell,Comcast Workplace,300.0M x 25.0M,First Digital Cell,,50.188.140.161,Unknown,173.8.88.141,Comcast,192.168.2.232,Private IP
UTS 22,UTS 22,Primary,Centracom,Private Customer,No Match,47,500.0M x 500.0M,$350.00,WAN 1 | Centracom | 500.0M x 500.0M | WAN 2 | CenturyLink | 60.0M x 5.0M,Centracom,500.0M x 500.0M,CenturyLink,60.0M x 5.0M,69.163.69.129,WAN1,69.163.69.129,Private Customer,67.40.102.73,CenturyLink Communications
UTS 24,UTS 24 -B,Secondary,Spanish Fork Community Network,Comcast,No Match,43,1000.0M x 1000.0M,$98.00,WAN 1 | Comcast Workplace | 600.0M x 35.0M | WAN 2 | Spanish Fork Community Network | 1000.0M x 1000.0M,Comcast Workplace,600.0M x 35.0M,Spanish Fork Community Network,1000.0M x 1000.0M,NaN,Unknown,50.255.207.237,Comcast,67.199.174.137,Google
UTS 25,UTS 25- B,Secondary,Centracom,Private Customer,No Match,47,100.0M x 40.0M,$250.00,WAN 1 | Comcast Workplace | 750.0M x 35.0M | WAN 2 | Centracom | 100.0M x 40.0M,Comcast Workplace,750.0M x 35.0M,Centracom,100.0M x 40.0M,69.163.66.31,WAN2,50.252.142.41,Comcast,69.163.66.31,Private Customer
UTS 26,UTS 26- B,Secondary,VZW Cell,InfoWest,No Match,33,250.0M x 250.0M,$150.00,WAN 1 | Infowest Inc | 250.0M x 250.0M | WAN 2 | VZW Cell | Cell,Infowest Inc,250.0M x 250.0M,VZW Cell Cell,,209.33.214.82,WAN1,209.33.214.82,InfoWest,192.168.0.151,Private IP
UTSW01,UTSW01,Primary,Comcast Workplace,,No Match,0,750.0M x 35.0M,$234.45,,,,,,50.208.244.41,Unknown,,,,
UTS W02,,Primary,DSR Comcast Cable,Private IP,No Match,40,600.0M x 35.0M,,WAN 1 | DSR Comcast Cable | 600.0M x 35.0M | WAN 2 | VZW Cell | Cell,Comcast Cable,600.0M x 35.0M,VZW Cell Cell,,,Unknown,10.1.10.247,Private IP,192.168.0.151,Private IP
UTSW02,UTSW02,Primary,Comcast Workplace,,No Match,0,750.0M x 35.0M,$234.45,,,,,,50.215.217.149,Unknown,,,,
VAB 03,VAB 03 -B,Secondary,Cox Business/BOI,Private IP,No Match,32,300.0M x 50.0M,$266.67,WAN 1 | Verizon FIOS | 500.0M x 500.0M | WAN 2 | DSR Cox Cable | 300.0M x 30.0M,Verizon FIOS,500.0M x 500.0M,Cox Cable,300.0M x 30.0M,70.168.213.210,Unknown,173.50.103.27,Verizon,192.168.2.140,Private IP
VAF 01,VAF 01,Primary,Comcast Workplace,,No Match,0,300.0M x 25.0M,$186.18,,,,,,50.211.60.57,Unknown,,,,
VAR 00,VAR 00,Primary,Comcast Workplace,,No Match,0,750.0M x 35.0M,$234.45,,,,,,50.210.2.145,Unknown,,,,
VAR 02,VAR 02,Primary,Comcast Workplace,,No Match,0,250.0M x 25.0M,$134.45,| WAN 1 | 23.25.122.238 | Failed | 2601:5cc:4680:5d70::19d1 | Failed | | | WAN 1 | Comcast Workplace | 200.0M x 20.0M | WAN 2 | VZ Gateway IMEI 356405432149137,23.25.122.238 Failed 2601 5cc 4680 5d70 19d1 Failed WAN 1 Comcast Workplace,200.0M x 20.0M,VZ Gateway IMEI 356405432149137,,23.25.122.237,Unknown,,,,
VAW 01,VAW 01- B,Secondary,Lumos Networks,Ntelos - WYBO FTTP Static Range,No Match,44,500.0M x 500.0M,$120.00,WAN 1 | Lumos Networks | 500.0M x 500.0M | WAN 2 | Comcast Workplace | 300.0M x 30.0M,Lumos Networks,500.0M x 500.0M,Comcast Workplace,300.0M x 30.0M,67.211.133.46,WAN1,67.211.133.46,Ntelos - WYBO FTTP Static Range,50.184.133.5,Comcast
WAE 03,WAE 03- B,Secondary,Pocketinet Communications,Northwest Open Access Network,No Match,40,100.0M x 100.0M,$144.95,WAN 1 | Spectrum | 750.0M x 35.0M | WAN 2 | Pocketinet Communications | 100.0M x 100.0M,Spectrum,750.0M x 35.0M,Pocketinet Communications,100.0M x 100.0M,66.119.203.174,WAN2,97.90.49.166,Charter Communications,66.119.203.174,Northwest Open Access Network
WAE 04,WAE 04- B,Secondary,EB2-Ziply Fiber,Private IP,No Match,46,500.0M x 500.0M,$153.00,WAN 1 | EB2-Ziply Fiber | 500.0M x 500.0M | WAN 2 | Spectrum | 750.0M x 35.0M,EB2-Ziply Fiber,500.0M x 500.0M,Spectrum,750.0M x 35.0M,NaN,Unknown,192.168.88.2,Private IP,156.19.242.226,Charter Communications
WAS00,WAS00,Primary,Ziply Fiber,,No Match,0,1000.0M x 1000.0M,$200.00,,,,,,50.34.4.82,Unknown,,,,
WAS 17,WAS 17 -B,Secondary,EB2-Ziply Fiber,Private IP,No Match,46,500.0M x 500.0M,$168.00,WAN 1 | Comcast Workplace | 600.0M x 35.0M | WAN 2 | EB2-Ziply Fiber | NAM Fiber | | 500.0M x 500.0M,Comcast Workplace,600.0M x 35.0M,EB2-Ziply Fiber | NAM Fiber |,500.0M x 500.0M,50.106.13.217,Unknown,50.210.40.229,Comcast,192.168.254.13,Private IP
WAS 18,WAS 18- B,Secondary,LocalTel,Charter Communications,No Match,57,1000.0M x 1000.0M,$73.95,WAN 1 | LocalTel | 1000.0M x 1000.0M | WAN 2 | Spectrum | 750.0M x 35.0M,LocalTel,1000.0M x 1000.0M,Spectrum,750.0M x 35.0M,NaN,Unknown,136.143.158.58,Ziply Fiber,68.185.54.210,Charter Communications
WAS 20,WAS 20,Primary,Comcast Workplace,CASEINTEL CORPORATION,No Match,53,500.0M x 30.0M,$175.56,WAN 1 | Comcast Workplace | 300.0M x 30.0M | WAN 2 | VZW Cell | Cell,Comcast Workplace,300.0M x 30.0M,VZW Cell Cell,,50.78.171.129,WAN1,50.78.171.129,CASEINTEL CORPORATION,10.0.0.2,Private IP
WAS 21,WAS 21,Primary,Comcast Workplace,VICTORY STUDIOS,No Match,40,750.0M x 35.0M,$234.45,WAN 1 | Comcast Workplace | 600.0M x 35.0M | WAN 2 | Digi | Cell,Comcast Workplace,600.0M x 35.0M,Digi Cell,,50.197.75.77,WAN1,50.197.75.77,VICTORY STUDIOS,192.168.2.150,Private IP
WAS 28,WAS 28,Primary,Comcast Workplace,RAND L KOLER AND ASSOCIA,No Match,39,300.0M x 30.0M,$175.56,WAN 1 | Astound | 300.0M x 300.0M | WAN 2 | Comcast Workplace | 300.0M x 30.0M,Astound,300.0M x 300.0M,Comcast Workplace,300.0M x 30.0M,173.160.197.253,WAN2,152.44.147.10,Wave Broadband,173.160.197.253,RAND L KOLER AND ASSOCIA
WDGA01_01,WDGA01_01 -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,104.61.91.209,Unknown,,,,
WDIL01,WDIL01,Primary,AT&T Broadband II,,No Match,0,1000.0M x 1000.0M,$165.01,,,,,,104.185.193.161,Unknown,,,,
WDTD01,WDTD01,Primary,AT&T Broadband II,,No Match,0,1000.0M x 1000.0M,$165.00,,,,,,107.132.157.73,Unknown,,,,
WIG 01,WIG 01,Primary,Spectrum,CINCINNATI TENANT,No Match,31,750.0M x 35.0M,$244.45,WAN 1 | Spectrum | 600.0M x 35.0M | WAN 2 | Digi | Cell,Spectrum,600.0M x 35.0M,Digi Cell,,98.103.62.50,WAN1,98.103.62.50,CINCINNATI TENANT,192.168.2.238,Private IP
WYO 03,WYO 03,Primary,Mountain West Technologies,Titan Electric ,No Match,50,500.0M x 500.0M,$350.00,WAN 1 | Mountain West Technologies | 500.0M x 500.0M | WAN 2 | Spectrum | 600.0M x 35.0M,Mountain West Technologies,500.0M x 500.0M,Spectrum,600.0M x 35.0M,66.119.61.198,WAN1,66.119.61.198,Titan Electric ,47.47.132.138,Charter Communications
