site_name,site_id,circuit_purpose,dsr_provider,dsr_speed,dsr_cost,dsr_ip,meraki_wan1_provider,wan1_ip,wan1_arin_provider,meraki_wan2_provider,wan2_ip,wan2_arin_provider,current_match,normalized_dsr_provider,normalized_wan1_arin,normalized_wan2_arin,wan1_arin_matches_dsr,wan2_arin_matches_dsr
CAS 38,CAS 38 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,107.130.10.153,AT&T Broadband II,107.130.10.153,AT&T,Cox Business/BOI,184.189.110.7,Cox Communications,WAN1,at&t,at&t,cox,Yes,No
CAS 39,CAS 39,Primary,Spectrum,600.0M x 35.0M,172.23,173.198.38.142,Spectrum,173.198.38.142,VERMONT PARK PLAZA,AT&T Broadband II,104.190.2.81,AT&T,WAN1,spectrum,vermont,at&t,No,No
CAS 39,CAS 39 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.190.2.81,Spectrum,173.198.38.142,VERMONT PARK PLAZA,AT&T Broadband II,104.190.2.81,AT&T,WAN2,at&t,vermont,at&t,No,Yes
CAS 43,CAS 43,Primary,Spectrum,600.0M x 35.0M,244.45,69.75.186.178,Spectrum,69.75.186.178,Charter Communications,AT&T Broadband II,76.210.254.185,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
CAS 43,CAS 43 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,76.210.254.185,Spectrum,69.75.186.178,Charter Communications,AT&T Broadband II,76.210.254.185,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
CAS 44,CAS 44,Primary,Spectrum,600.0M x 35.0M,172.23,69.75.66.142,AT&T Broadband II,104.59.74.145,AT&T,Spectrum,69.75.66.142,Charter Communications,WAN2,spectrum,at&t,spectrum,No,Yes
CAS 44,CAS 44 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.59.74.145,AT&T Broadband II,104.59.74.145,AT&T,Spectrum,69.75.66.142,Charter Communications,WAN1,at&t,at&t,spectrum,Yes,No
CAS 45,CAS 45 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,162.196.235.249,AT&T Broadband II,162.196.235.249,AT&T,Digi,166.184.158.31,AT&T,WAN1,at&t,at&t,at&t,Yes,Yes
CAS 47,CAS 47,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,99.47.87.137,AT&T Broadband II,99.47.87.137,AT&T,Digi,192.168.2.129,Private IP,WAN1,at&t,at&t,private,Yes,No
CAS 48,CAS 48,Primary,EB2-Frontier Fiber,500.0M x 500.0M,245.00,47.180.235.173,Frontier Communications,47.180.235.173,Frontier Communications,Verizon Business,166.248.10.133,Verizon,No Match,frontier,frontier,verizon,Yes,No
CAS 49,CAS 49,Primary,Spectrum,600.0M x 35.0M,172.23,76.53.67.30,Spectrum,76.53.67.30,Charter Communications,Starlink,143.105.90.49,"SpaceX Services, Inc.",WAN1,spectrum,spectrum,spacex,Yes,No
CAS 50,CAS 50,Primary,GTT Ethernet,50.0M x 10.0M,177.66,47.180.196.75,EB2-Frontier Fiber,47.181.172.127,Frontier Communications,GTT Ethernet,47.180.196.75,Frontier Communications,WAN2,gtt,frontier,frontier,No,No
CAS 50,CAS 50 -B,Secondary,EB2-Frontier Fiber,500.0M x 500.0M,245.00,47.181.172.127,EB2-Frontier Fiber,47.181.172.127,Frontier Communications,GTT Ethernet,47.180.196.75,Frontier Communications,WAN1,frontier,frontier,frontier,Yes,Yes
CAS 51,CAS 51,Primary,Cox Business/BOI ,300.0M x 30.0M,266.67,68.15.20.182,Cox Business/BOI ,68.15.20.182,Cox Communications,AT&T Broadband II,76.199.106.113,AT&T,WAN1,cox,cox,at&t,Yes,No
CAS 51,CAS 51 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,76.199.106.113,Cox Business/BOI ,68.15.20.182,Cox Communications,AT&T Broadband II,76.199.106.113,AT&T,WAN2,at&t,cox,at&t,No,Yes
CAS 53,CAS 53,Primary,AT&T Broadband II,2000.0M x 2000.0M,240.04,75.60.234.33,AT&T Broadband II,75.60.234.33,AT&T,Cox Business/BOI,174.77.167.8,Cox Communications,WAN1,at&t,at&t,cox,Yes,No
CAS 53,CAS 53 -B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,174.77.167.8,AT&T Broadband II,75.60.234.33,AT&T,Cox Business/BOI,174.77.167.8,Cox Communications,WAN2,cox,at&t,cox,No,Yes
COB 01,COB 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.211.228.33,Comcast Workplace,50.211.228.33,Comcast,EB2-Centurylink DSL,67.40.41.89,CenturyLink,WAN1,comcast,comcast,centurylink,Yes,No
COB 01,COB 01- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,67.40.41.89,Comcast Workplace,50.211.228.33,Comcast,EB2-Centurylink DSL,67.40.41.89,CenturyLink,WAN2,centurylink,comcast,centurylink,No,Yes
COD 02,COD 02,Primary,Comcast Workplace,250.0M x 25.0M,186.18,96.76.171.13,Comcast Workplace,96.76.171.13,Comcast,Digi,192.168.2.146,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 04,COD 04,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.190.67.161,Comcast Workplace,50.190.67.161,Comcast Cable Communications,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 05,COD 05,Primary,Comcast Workplace,600.0M x 35.0M,234.45,70.89.171.173,Comcast Workplace,70.89.171.173,Comcast,Comcast Workplace,192.168.2.201,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 06,COD 06,Primary,Lumen,100.0M x 10.0M,139.99,63.231.93.145,Lumen,63.231.93.145,CenturyLink,AT&T Cell,192.168.2.189,Private IP,WAN1,centurylink,centurylink,private,Yes,No
COD 07,COD 07,Primary,Comcast Workplace,250.0M x 25.0M,186.18,50.214.21.189,Comcast Workplace,50.214.21.189,Comcast,Digi,192.168.2.248,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 10,COD 10,Primary,Comcast Workplace,300.0M x 30.0M,175.56,50.190.70.173,Comcast Workplace,50.190.70.173,Comcast,Comcast Workplace,192.168.0.20,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 11,COD 11,Primary,Comcast Workplace,600.0M x 35.0M,234.45,75.145.115.1,Comcast Workplace,75.145.115.1,Comcast,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 14,COD 14,Primary,Comcast Workplace,250.0M x 25.0M,186.18,50.246.194.125,Comcast Workplace,50.246.194.125,Comcast,AT&T Cell,192.168.2.194,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 18,COD 18,Primary,Comcast Workplace,1000.0M x 35.0M,282.23,50.190.87.25,Comcast Workplace,50.190.87.25,Comcast,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
