site_name,site_id,circuit_purpose,provider_name,speed,cost,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
TXD 00,TXD 00,Primary,Spectrum,600.0M x 35.0M,244.45,No,No Meraki device,,,,,No
TXD00,TXD00,Primary,Spectrum,600.0M x 35.0M,172.23,No,No Meraki device,,,,,No
TXH00,TXH00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,No,No Meraki device,,,,,No
TXH00,TXH00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
TXH Training,TXH Training,Primary,Comcast Workplace,300.0M x 30.0M,175.56,No,No Meraki device,,,,,No
TXHW00,TXHW00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
TXHW00,TXHW00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
TXS 00,TXS 00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
TXS000,TXS 00,Primary,Spectrum,600.0M x 35.0M,244.45,No,No Meraki device,,,,,No
UTS 00,UTS 00,Primary,Zayo Communications,100.0M x 100.0M,495.00,No,No Meraki device,,,,,No
UTSW01,UTSW01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
UTSW02,UTSW02,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
VAF 01,VAF 01,Primary,Comcast Workplace,250.0M x 25.0M,186.18,No,No Meraki device,,,,,No
VAR 00,VAR 00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
WAS00,WAS00,Primary,Ziply Fiber,1000.0M x 1000.0M,200.00,No,No Meraki device,,,,,No
WDGA01_01,WDGA01_01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
WDIL01,WDIL01,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,No Meraki device,,,,,No
WDTD01,WDTD01,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.00,No,No Meraki device,,,,,No
AZF 02,AZF 02,Primary,Altice West,500.0M x 50.0M,222.23,No,Provider mismatch,Lightpath ,Lightpath,Optimum,Optimum,No
AZH 01,AZH 01,Primary,Altice West,500.0M x 50.0M,212.77,No,Provider mismatch,Optimum,Digi,Optimum,AT&T,No
AZT 14,AZT 14 -B,Secondary,Login,100.0M x 20.0M,450.00,No,Provider mismatch,Cox Business/BOI,"Login, Inc.",Cox Communications,"Login, Inc.",No
CAN 22,CAN 22,Primary,Vista Broadband,15.0M x 15.0M,250.00,No,Provider mismatch,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,No
CAN 58,CAN 58 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,Provider mismatch,Private Customer - AT&T Internet Services,Comcast Workplace,AT&T,Comcast,Yes
GAA 03,GAA 03 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,Provider mismatch,Private Customer - AT&T Internet Services,Comcast Workplace,AT&T,Private IP,Yes
MOS 12,MOS 12 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,Provider mismatch,Private Customer - AT&T Internet Services,Spectrum,AT&T,Charter Communications,Yes
OKA 01,OKA 01,Primary,SparkLight,300.0M x 30.0M,224.99,No,Provider mismatch,AT&T Broadband II,AT&T Broadband II,"Cable One, Inc.",AT&T,No
TXD 28,TXD 28 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,Provider mismatch,Spectrum,Spectrum,AT&T,Charter Communications,Yes
TXD 50,TXD 50 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,Provider mismatch,Private Customer - AT&T Internet Services,Charter Communications Inc,AT&T,Charter Communications,Yes
TXD 50,TXD 50,Primary,Spectrum,600.0M x 35.0M,244.45,No,Provider mismatch,Private Customer - AT&T Internet Services,Charter Communications Inc,AT&T,Charter Communications,No
TXH 23,TXH 23,Primary,Altice West,500.0M x 50.0M,222.23,No,Provider mismatch,Optimum,Digi,Optimum,Private IP,No
TXH 43,TXH 43,Primary,Altice West,500.0M x 50.0M,222.23,No,Provider mismatch,"AT&T Enterprises, LLC",Optimum,AT&T,Optimum,No
TXH 74,TXH 74,Primary,Altice,500.0M x 50.0M,212.77,No,Provider mismatch,Optimum,VZW Cell,Private IP,Private IP,No
TXH 85,TXH 85,Primary,Altice West,500.0M x 50.0M,222.23,No,Provider mismatch,Optimum,Verizon Business,Optimum,Verizon,No
TXH 92,TXH 92- B,Secondary,Brightspeed,80.0M x 10.0M,149.99,No,Provider mismatch,Comcast Workplace,CenturyLink Communications LLC,Comcast,Private IP,No
TXW 03,TXW 03,Primary,Altice West,500.0M x 50.0M,222.23,No,Provider mismatch,Optimum,Digi,Optimum,Private IP,No
TXW 06,TXW 06,Primary,Altice West,500.0M x 50.0M,222.23,No,Provider mismatch,Optimum,Digi,Optimum,Private IP,No
VAB 03,VAB 03 -B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,No,Provider mismatch,Verizon FIOS,DSR Cox Cable,Verizon,Private IP,No
CAS 13,CAS 13,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,No,Should get badge,,,,,No
CAS 13,CAS 13 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,Should get badge,,,,,No
FLP 03,FLP 03,Primary,Mediacom/BOI,300.0M x 20.0M,244.69,No,Should get badge,AT&T Broadband II,,AT&T,,No
TXD 33,TXD 33 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,Should get badge,Spectrum,,Private IP,,No
