Site Name,Confidence Score,Status,Reasons,WAN1 Provider,WAN1 Role,WAN1 IP,WAN1 ARIN,WAN2 Provider,WAN2 Role,WAN2 IP,WAN2 ARIN,DSR Primary Provider,DSR Primary IP,DSR Secondary Provider,DSR Secondary IP
TXH 43,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,"AT&T Enterprises, LLC",Primary,108.249.194.9,AT&T,Optimum,Secondary,208.180.223.58,Optimum,Altice West,208.180.223.58,AT&T Broadband II,108.249.194.9
TXH 53,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.249.194.5,AT&T,Comcast Workplace,Secondary,96.73.110.89,Comcast,Comcast Workplace,96.73.110.89,AT&T Broadband II,108.249.194.1
TXH 58,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Spectrum,Primary,71.11.244.250,Charter Communications,Comcast Workplace,Secondary,96.68.99.209,Comcast,Comcast Workplace,96.68.99.209,Spectrum,71.11.244.250
TXH 60,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.50.73.57,AT&T,Comcast Workplace,Secondary,96.65.229.217,Comcast,Comcast Workplace,96.65.229.217,AT&T Broadband II,104.50.73.57
TXH 61,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.72.206.121,AT&T,Comcast Workplace,Secondary,50.78.223.25,Comcast,Comcast Workplace,50.78.223.25,AT&T Broadband II,108.72.206.121
TXH 62,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.254.202.153,AT&T,Spectrum,Secondary,24.173.224.254,Charter Communications,Spectrum,24.173.224.254,AT&T Broadband II,108.254.202.153
TXH 66,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,AT&T Broadband II,Primary,99.125.139.25,AT&T,Comcast Workplace,Secondary,50.197.216.105,PPO CHECK,Comcast Workplace,50.197.216.105,AT&T Broadband II,99.125.139.25
TXH 69,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.237.33.129,AT&T,Spectrum,Secondary,70.113.243.122,Charter Communications,Spectrum,70.113.243.122,AT&T Broadband II,108.237.33.129
TXH 72,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.230.160.101,AT&T,Comcast Workplace,Secondary,50.209.108.33,Comcast,Comcast Workplace,50.209.108.33,AT&T Broadband II,162.230.160.97
TXH 77,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.29.91.153,AT&T,Comcast Workplace,Secondary,50.208.72.229,Comcast,Comcast Workplace,50.208.72.229,AT&T Broadband II,99.29.91.153
TXH 81,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Metronet,Primary,195.252.236.111,Metronet,Rise Broadband,Secondary,216.228.69.228,"JAB Wireless, INC.",Rise Broadband,216.228.69.228,Metronet,195.252.236.111
TXH 87,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.249.192.97,AT&T,Comcast Workplace,Secondary,96.73.64.77,Comcast,Comcast Workplace,96.73.64.77,AT&T Broadband II,108.249.192.97
TXH 89,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.249.193.65,AT&T,Comcast Workplace,Secondary,96.79.163.117,Comcast,Comcast Workplace,96.79.163.117,AT&T Broadband II,108.249.193.65
TXH 95,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.26.235.245,AT&T,Comcast Workplace,Secondary,96.65.232.233,Comcast,Comcast Workplace,96.65.232.233,AT&T Broadband II,99.26.235.241
TXL 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Vexus,Primary,216.167.143.148,Vexus Fiber,Altice West,Secondary,66.76.182.71,Optimum,Altice West,66.76.182.71,Vexus,216.167.143.148
TXM 03,3,FLIPPED,Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,AT&T Broadband II,Primary,172.7.186.105,AT&T,Altice,Secondary,75.109.164.111,Optimum,Altice,208.180.5.183,AT&T Broadband II,172.7.186.105
TXS 13,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.213.53.73,AT&T,Spectrum,Secondary,67.79.227.50,Charter Communications,Spectrum,67.79.227.50,AT&T Broadband II,108.213.53.73
TXS 14,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.4.82.129,AT&T,Spectrum,Secondary,70.113.230.246,Charter Communications,Spectrum,70.113.230.246,AT&T Broadband II,104.4.82.129
TXS 16,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,76.255.8.185,AT&T,Spectrum,Secondary,150.220.131.54,Charter Communications,Spectrum,150.220.131.54,AT&T Broadband II,76.255.8.185
TXS 26,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,GVTC Communications,Primary,216.177.186.153,GVTC-DIALUP DYNAMIC POOL,Spectrum,Secondary,70.116.227.178,Charter Communications,Spectrum,70.116.227.178,GVTC Communications,216.177.186.153
TXS 29,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.186.86.241,AT&T,Spectrum,Secondary,71.78.32.74,Charter Communications,Spectrum,71.78.32.74,AT&T Broadband II,104.186.86.241
TXS 30,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.4.81.9,AT&T,Spectrum,Secondary,50.84.69.66,Charter Communications,Spectrum,50.84.69.66,AT&T Broadband II,104.4.81.9
TXS 31,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.213.50.113,AT&T,Spectrum,Secondary,97.105.40.142,Charter Communications,Spectrum,97.105.40.142,AT&T Broadband II,108.213.50.113
TXW 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,AT&T Broadband II,Primary,107.213.253.217,AT&T,Altice,Secondary,66.76.17.70,Optimum,Altice,66.76.17.70,AT&T Broadband II,107.213.253.217
VAR 03,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,EB2-Verizon Fiber,Primary,71.251.226.20,Verizon,Comcast Workplace,Secondary,50.211.36.105,Comcast,Comcast Workplace,50.211.36.105,EB2-Verizon Fiber,71.251.226.20
VAW 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,Lumos Networks,Primary,67.211.133.46,Ntelos - WYBO FTTP Static Range,Comcast Workplace,Secondary,50.184.133.5,Comcast,Comcast Workplace,50.184.133.5,Lumos Networks,67.211.133.46
WAE 04,3,FLIPPED,Primary DSR IP matches WAN2; WAN2 ARIN matches Primary DSR provider,EB2-Ziply Fiber,Primary,50.37.87.160,Ziply Fiber,Spectrum,Secondary,156.19.242.226,Charter Communications,Spectrum,156.19.242.226,EB2-Ziply Fiber,NaN
WAS 18,3,FLIPPED,Primary DSR IP matches WAN2; WAN2 ARIN matches Primary DSR provider,LocalTel,Primary,136.143.158.58,Ziply Fiber,Spectrum,Secondary,68.185.54.210,Charter Communications,Spectrum,68.185.54.210,LocalTel,NaN
WAS 28,4,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1,Astound,Primary,152.44.147.10,Wave Broadband,Comcast Workplace,Secondary,173.160.197.253,RAND L KOLER AND ASSOCIA,Comcast Workplace,173.160.197.253,Astound,152.44.147.10
WIA 02,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.0.53.81,AT&T,Spectrum,Secondary,76.58.175.102,Charter Communications,Spectrum,76.58.175.102,AT&T Broadband II,104.0.53.81
WIM 06,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.25.252.81,AT&T,Spectrum,Secondary,47.49.86.250,Charter Communications,Spectrum,47.49.86.250,AT&T Broadband II,99.25.252.81
WIO 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.188.22.121,AT&T,Spectrum,Secondary,98.102.81.218,Charter Communications,Spectrum,98.102.81.218,AT&T Broadband II,99.188.22.121
ARL 06,2,SUSPICIOUS,Secondary DSR IP matches WAN1,Brightspeed,Primary,65.57.63.26,CenturyLink,Altice West,Secondary,74.194.6.150,Optimum,Altice West,66.76.87.145,Brightspeed,65.57.63.26
ARO 06,2,SUSPICIOUS,WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,98.190.16.57,Cox Communications,Cox Business/BOI,Secondary,99.13.6.195,"AT&T Enterprises, LLC",AT&T Broadband II,99.11.64.81,Cox Business/BOI,72.196.89.121
AZF 02,2,SUSPICIOUS,Secondary DSR IP matches WAN1,Altice West,Primary,207.192.240.178,Optimum,Lightpath,Secondary,24.121.190.245,Optimum,Altice West,NaN,Lightpath ,207.192.240.178
CAS 03,2,SUSPICIOUS,WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,68.94.119.27,AT&T,Cox Business/BOI,Secondary,70.167.76.83,Cox Communications,Cox Business/BOI,68.15.1.105,AT&T Broadband II,68.94.119.25
FLP 03,1,SUSPICIOUS,WAN1 ARIN matches Secondary DSR provider,AT&T Broadband II,Primary,104.61.207.4,AT&T,x,Secondary,None,,Mediacom/BOI,72.255.76.90,AT&T Broadband II,104.61.207.1
GAA 03,2,SUSPICIOUS,WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Private Customer - AT&T Internet Services,Primary,99.34.24.243,AT&T,"Comcast Cable Communications, LLC",Secondary,76.145.180.126,"Comcast Cable Communications, LLC",Comcast Workplace,96.77.72.189,AT&T Broadband II,99.34.24.241
KSK 04,2,SUSPICIOUS,WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.195.71.212,"AT&T Enterprises, LLC",Spectrum,Secondary,74.62.164.205,Charter Communications Inc,Spectrum,74.62.164.206,AT&T Broadband II,NaN
MOR 01,1,SUSPICIOUS,WAN2 ARIN matches Primary DSR provider,Fidelity Communications,Primary,149.76.254.206,"Fidelity Cablevision, LLC",EB2-Sparklight Cable,Secondary,149.76.232.62,"Fidelity Cablevision, LLC",Fidelity Communications,149.76.254.206,EB2-Sparklight Cable,149.76.232.62
WDTD 01,1,SUSPICIOUS,WAN1 ARIN matches Secondary DSR provider,AT&T,Primary,107.132.157.73,AT&T,ATT,Secondary,166.168.180.168,Verizon Business,AT&T,,ATT,
