Site Name,Circuit Purpose,Status,IP Address,Circuits Table Provider,Circuits Table Speed,Enriched Network Name,Enriched Provider,Enriched Speed,DSR Provider,DSR Speed,Has Meraki Notes,Notes Preview
MNM 12,Secondary,Enabled,199.48.95.72,Metronet,1000.0M x 1000.0M,MNM 12,Spectrum,1000.0M x 1000.0M,Metronet,1000.0M x 1000.0M,Yes,"WAN 1
Metronet
1000.0M x 1000.0M
WAN 2
Spectrum
750.0M x 35.0M..."
MNM 13,Primary,Enabled,50.209.16.33,Comcast Workplace,750.0M x 35.0M,MNM 13,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
EB2-Lumen DSL
100.0M x 10.0M..."
MNM 13,Secondary,Enabled,63.231.176.49,EB2-Lumen DSL,100.0M x 10.0M,MNM 13,EB2-Lumen DSL,100.0M x 10.0M,EB2-Lumen DSL,100.0M x 10.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
EB2-Lumen DSL
100.0M x 10.0M..."
MNM 14,Primary,Enabled,50.211.22.161,Comcast Workplace,750.0M x 35.0M,MNM 14,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
VZW Cell
Cell..."
MNM 14,Secondary,Customer Action Required,NaN,Arvig Communications,300.0M x 300.0M,MNM 14,VZW Cell,Cell,,,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
VZW Cell
Cell..."
MNM 15,Primary,Enabled,66.191.136.66,Spectrum,750.0M x 35.0M,MNM 15,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
Metronet
500.0M x 500.0M..."
MNM 15,Secondary,Enabled,199.193.65.17,Metronet,500.0M x 500.0M,MNM 15,Metronet,500.0M x 500.0M,Metronet,500.0M x 500.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
Metronet
500.0M x 500.0M..."
MNM 16,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MNM 16,,,,,Yes,"WAN 2
VZW Cell
Cell..."
MNM 16,Secondary,No Service Available,NaN,NSA,,MNM 16,VZW Cell,Cell,,,Yes,"WAN 2
VZW Cell
Cell..."
MNM 17,Primary,Enabled,96.75.137.93,Comcast Workplace,750.0M x 35.0M,MNM 17,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
Digi
Cell..."
MNM 17,Secondary,No Service Available,NaN,NSA,,MNM 17,Digi,Cell,,,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
Digi
Cell..."
MNM 18,Primary,Enabled,50.209.29.89,Comcast Workplace,750.0M x 35.0M,MNM 18,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
WAN 2
Accelerated..."
MNM 18,Secondary,No Service Available,NaN,NSA,,MNM 18,Accelerated,Cell,,,Yes,"WAN 1
Comcast Workplace
WAN 2
Accelerated..."
MNM 19,Primary,Enabled,195.252.240.66,MetroNet,300.0M x 300.0M,MNM 19,DSR MetroNet Fiber,300.0M x 300.0M,MetroNet,300.0M x 300.0M,Yes,"WAN 1
DSR MetroNet Fiber
100.0M x 100.0M
WAN 2
Digi
Cell..."
MNM 19,Secondary,Order Canceled,NaN,Spectrum,1000.0M x 35.0M,MNM 19,Digi,Cell,,,Yes,"WAN 1
DSR MetroNet Fiber
100.0M x 100.0M
WAN 2
Digi
Cell..."
MNM 20,Primary,Enabled,24.196.62.150,Spectrum,750.0M x 35.0M,MNM 20,MetroNet,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
MetroNet
500.0M x 500.0M
WAN 2
Spectrum
750.0M x 35.0M..."
MNM 20,Secondary,Enabled,195.252.234.8,MetroNet,500.0M x 500.0M,MNM 20,Spectrum,500.0M x 500.0M,MetroNet,500.0M x 500.0M,Yes,"WAN 1
MetroNet
500.0M x 500.0M
WAN 2
Spectrum
750.0M x 35.0M..."
MNM 21,Primary,Enabled,173.8.127.65,Comcast Workplace,300.0M x 30.0M,MNM 21,Comcast Workplace,250.0M x 25.0M,Comcast Workplace,300.0M x 30.0M,Yes,"WAN 1
Comcast Workplace
250.0M x 25.0M
WAN 2
VZW Cell
Cell..."
MNM 21,Secondary,No Service Available,NaN,NSA,,MNM 21,VZW Cell,Cell,,,Yes,"WAN 1
Comcast Workplace
250.0M x 25.0M
WAN 2
VZW Cell
Cell..."
MNM 22,Primary,Enabled,47.49.101.114,Spectrum,1000.0M x 50.0M,MNM 22,Spectrum,940.0M x 35.0M,Spectrum,1000.0M x 50.0M,Yes,"WAN 1
Spectrum
1000.0M x 50.0M
WAN 2
EB2-Centurylink DSL
140.0M x 20.0M..."
MNM 22,Secondary,Enabled,65.102.107.57,EB2-Centurylink DSL,140.0M x 20.0M,MNM 22,EB2-Centurylink DSL,140.0M x 20.0M,EB2-Centurylink DSL,140.0M x 20.0M,Yes,"WAN 1
Spectrum
1000.0M x 50.0M
WAN 2
EB2-Centurylink DSL
140.0M x 20.0M..."
MNM 23,Primary,Enabled,24.181.150.230,Spectrum,750.0M x 35.0M,MNM 23,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
EB2-Centurylink DSL
140.0M x 20.0M..."
MNM 23,Secondary,Enabled,70.58.151.81,EB2-Centurylink DSL,140.0M x 20.0M,MNM 23,EB2-Centurylink DSL,140.0M x 20.0M,EB2-Centurylink DSL,140.0M x 20.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
EB2-Centurylink DSL
140.0M x 20.0M..."
MNM 25,Primary,Information/Approval Needed From Sponsor,NaN,Comcast Workplace,,MNM 25,ComcastAgg,,,,Yes,"WAN 1
ComcastAgg x
WAN 2
Verizon Business..."
MNM 25,Secondary,Order Canceled,NaN,NaN,,MNM 25,Verizon Business,Cell,,,Yes,"WAN 1
ComcastAgg x
WAN 2
Verizon Business..."
MNM 26,Primary,Enabled,50.211.25.85,Comcast Workplace,750.0M x 35.0M,MNM 26,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 2
Unknown..."
MNM 26,Secondary,No Service Available,NaN,NSA,,MNM 26,Unknown,,,,Yes,"WAN 2
Unknown..."
MNM 27,Primary,Enabled,65.125.124.178,CenturyLink Fiber Plus,500.0M x 500.0M,MNM 27,CenturyLink Fiber Plus,500.0M x 500.0M,CenturyLink Fiber Plus,500.0M x 500.0M,Yes,"WAN 1
CenturyLink Fiber Plus
500.0M x 500.0M
WAN 2
CTC
250.0M x 250.0M..."
MNM 27,Secondary,Enabled,209.212.33.147,CTC,250.0M x 250.0M,MNM 27,CTC,250.0M x 250.0M,CTC,250.0M x 250.0M,Yes,"WAN 1
CenturyLink Fiber Plus
500.0M x 500.0M
WAN 2
CTC
250.0M x 250.0M..."
MNM 29,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MNM 29,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Verizon Business..."
MNM 29,Secondary,Order Canceled,NaN,NaN,,MNM 29,Verizon Business,Cell,,,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Verizon Business..."
MNM 31,Primary,Enabled,70.89.198.5,Comcast Workplace,500.0M x 30.0M,MNM 31,Comcast Workplace,300.0M x 30.0M,Comcast Workplace,500.0M x 30.0M,Yes,"WAN 1
Comcast Workplace
500.0M x 30.0M..."
MNM 31,Secondary,Information/Approval Needed From Sponsor,NaN,NaN,,MNM 31,,,,,Yes,"WAN 1
Comcast Workplace
500.0M x 30.0M..."
MNM 00,Primary,Enabled,173.165.242.141,Comcast Workplace,750.0M x 35.0M,MNM_00,Comcast,600.0 M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast
600.0M x 35.0M
WAN 2
Digi
Cell..."
MOK 01,Primary,Enabled,98.100.117.174,Spectrum,750.0M x 35.0M,MOK 01,AT&T Broadband II,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Spectrum
750.0M x 35.0M..."
MOK 01,Secondary,Enabled,NaN,AT&T Broadband II,1000.0M x 1000.0M,MOK 01,Spectrum,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Spectrum
750.0M x 35.0M..."
MOK 02,Primary,Enabled,70.115.87.122,Spectrum,750.0M x 35.0M,MOK 02,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOK 02,Secondary,Enabled,162.225.104.177,AT&T Broadband II,300.0M x 300.0M,MOK 02,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOK 03,Primary,Enabled,70.115.81.26,Spectrum,750.0M x 35.0M,MOK 03,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOK 03,Secondary,Enabled,104.182.118.217,AT&T Broadband II,300.0M x 300.0M,MOK 03,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOK 05,Primary,Enabled,70.91.182.209,Comcast Workplace,750.0M x 35.0M,MOK 05,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOK 05,Secondary,Enabled,99.126.71.89,AT&T Broadband II,300.0M x 300.0M,MOK 05,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOK 06,Primary,Enabled,50.240.67.221,Comcast Workplace,750.0M x 35.0M,MOK 06,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOK 06,Secondary,Enabled,104.5.144.169,AT&T Broadband II,300.0M x 300.0M,MOK 06,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOK 07,Primary,Enabled,70.115.24.82,Spectrum ,750.0M x 35.0M,MOK 07,AT&T Broadband II,600.0M x 35.0M,Spectrum ,750.0M x 35.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Spectrum
750.0M x 35.0M..."
MOK 07,Secondary,Enabled,162.193.190.169,AT&T Broadband II,1000.0M x 1000.0M,MOK 07,Spectrum,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Spectrum
750.0M x 35.0M..."
MON 01,Primary,Enabled,66.76.79.145,Altice West,500.0M x 50.0M,MON 01,Altice West,500.0M x 50.0M,Altice West,500.0M x 50.0M,Yes,"WAN 1
Altice West
500.0M x 50.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MON 01,Secondary,Enabled,104.182.118.89,AT&T Broadband II,300.0M x 300.0M,MON 01,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Altice West
500.0M x 50.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOO 01,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MOO 01,ComcastAgg CableOne,300.0 M,,,Yes,"WAN 1
ComcastAgg CableOne
300.0M x 35.0M
WAN 2
Digi
Cell..."
MOO 02,Primary,Enabled,72.255.84.218,Mediacom/BOI,1000.0M x 30.0M,MOO 02,Mediacom Communications Corporation,1000.0M x 30.0M,Mediacom/BOI,1000.0M x 30.0M,Yes,"WAN 1
Mediacom Communications Corporation
1000.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOO 02,Secondary,Enabled,99.115.113.97,AT&T Broadband II,300.0M x 300.0M,MOO 02,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Mediacom Communications Corporation
1000.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOO 03,Primary,Enabled,64.237.17.58,Mediacom/BOI,1000.0M x 30.0M,MOO 03,Mediacom Communications Corporation,1000.0M x 30.0M,Mediacom/BOI,1000.0M x 30.0M,Yes,"WAN 1
Mediacom Communications Corporation
1000.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOO 03,Secondary,Enabled,104.49.227.97,AT&T Broadband II,300.0M x 300.0M,MOO 03,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Mediacom Communications Corporation
1000.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOO 04,Primary,Pending Scheduled Deployment,NaN,NaN,,MOO 04,Level 3,300.0 M,,,Yes,"WAN 1
Level 3
300.0M x 300.0M
WAN 2
Verizon 5G..."
MOO 04,Secondary,Order Canceled,NaN,Altice West,300.0M x 50.0M,MOO 04,Verizon,Cell,,,Yes,"WAN 1
Level 3
300.0M x 300.0M
WAN 2
Verizon 5G..."
MOR 01,Primary,Enabled,149.76.254.206,Fidelity Communications,350.0M x 20.0M,MOR 01,Fidelity Communications,350.0M x 20.0M,Fidelity Communications,350.0M x 20.0M,Yes,"WAN 1
Fidelity Communications
350.0M x 20.0M
WAN 2
EB2-Sparklight Cable
300.0M x 30.0M..."
MOR 01,Secondary,Enabled,149.76.232.62,EB2-Sparklight Cable,300.0M x 30.0M,MOR 01,EB2-Sparklight Cable,300.0M x 30.0M,EB2-Sparklight Cable,300.0M x 30.0M,Yes,"WAN 1
Fidelity Communications
350.0M x 20.0M
WAN 2
EB2-Sparklight Cable
300.0M x 30.0M..."
MOS 01,Primary,Enabled,97.87.195.122,Spectrum,750.0M x 35.0M,MOS 01,AT&T Broadband II,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 200.0M
WAN 2
Spectrum
750.0M x 35.0M..."
MOS 01,Secondary,Enabled,108.252.197.217,AT&T Broadband II,1000.0M x 200.0M,MOS 01,Spectrum,1000.0M x 200.0M,AT&T Broadband II,1000.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 200.0M
WAN 2
Spectrum
750.0M x 35.0M..."
MOS 02,Primary,Enabled,108.192.139.137,AT&T Broadband II,300.0M x 300.0M,MOS 02,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
AT&T Enterprises, LLC..."
MOS 02,Secondary,Customer Action Required,NaN,Spectrum,750.0M x 35.0M,MOS 02,"AT&T Enterprises, LLC",,,,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
AT&T Enterprises, LLC..."
MOS 03,Primary,Enabled,68.188.35.194,Spectrum,750.0M x 35.0M,MOS 03,Spectrum,300.0M x 20.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOS 03,Secondary,Enabled,107.209.46.89,AT&T Broadband II,300.0M x 300.0M,MOS 03,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOS 04,Primary,Enabled,68.188.105.222,Spectrum,750.0M x 35.0M,MOS 04,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOS 04,Secondary,Enabled,108.230.112.177,AT&T Broadband II,300.0M x 300.0M,MOS 04,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOS 05,Primary,Enabled,71.86.47.194,Spectrum,1000.0M x 50.0M,MOS 05,Spectrum,940.0M x 35.0M,Spectrum,1000.0M x 50.0M,Yes,"WAN 1
Spectrum
1000.0M x 50.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOS 05,Secondary,Enabled,104.8.209.161,AT&T Broadband II,300.0M x 300.0M,MOS 05,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
1000.0M x 50.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MOS 06,Primary,Enabled,104.8.211.201,AT&T Broadband II,200.0M x 40.0M,MOS 06,Spectrum,200.0M x 40.0M,AT&T Broadband II,200.0M x 40.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
200.0M x 40.0M..."
MOS 06,Secondary,Enabled,47.47.33.146,Spectrum,750.0M x 35.0M,MOS 06,AT&T Broadband II,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
200.0M x 40.0M..."
MOS 07,Primary,Enabled,107.209.41.193,AT&T Broadband II,1000.0M x 200.0M,MOS 07,AT&T Broadband II,1000.0M x 200.0M,AT&T Broadband II,1000.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 200.0M
WAN 2
VZW Cell
Cell..."
MOS 07,Secondary,Order Ready To Be Placed,NaN,Spectrum,750.0M x 35.0M,MOS 07,VZW Cell,Cell,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 200.0M
WAN 2
VZW Cell
Cell..."
MOS 08,Primary,Enabled,24.241.105.158,Spectrum,750.0M x 35.0M,MOS 08,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
Brightspeed
100.0M x 100.0M..."
MOS 08,Secondary,Enabled,184.159.176.26,Brightspeed,100.0M x 100.0M,MOS 08,Brightspeed,100.0M x 100.0M,Brightspeed,100.0M x 100.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
Brightspeed
100.0M x 100.0M..."
MOS 09,Primary,Enabled,97.87.146.162,Spectrum,750.0M x 35.0M,MOS 09,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
Digi
Cell..."
MOS 09,Secondary,No Service Available,NaN,NSA,,MOS 09,Digi,Cell,,,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
Digi
Cell..."
MOS 10,Primary,Enabled,24.241.104.110,Spectrum,750.0M x 35.0M,MOS 10,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
Starlink
Satellite..."
MOS 10,Secondary,No Service Available,NaN,NSA,,MOS 10,Starlink,Satellite,,,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
Starlink
Satellite..."
MOS 12,Primary,Enabled,47.50.179.106,Spectrum,750.0M x 35.0M,MOS 12,Private Customer - AT&T Internet Services,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Private Customer - AT&T Internet Services
WAN 2
Spectrum
750.0M x 35.0M..."
MOS 12,Secondary,Enabled,162.203.66.113,AT&T Broadband II,1000.0M x 1000.0M,MOS 12,Spectrum,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
Private Customer - AT&T Internet Services
WAN 2
Spectrum
750.0M x 35.0M..."
MOS 00,Primary,Enabled,24.182.253.114,Spectrum,750.0M x 35.0M,MOS_00,Charter Communications,750.0 M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Charter Communications
750.0M x 35.0M
WAN 2
AT&T
1000.0M x 1000.0M..."
MOS 00,Secondary,Enabled,75.36.177.1,AT&T Broadband II,1000.0M x 1000.0M,MOS_00,AT&T,1000.0 M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
Charter Communications
750.0M x 35.0M
WAN 2
AT&T
1000.0M x 1000.0M..."
MSG 01,Primary,Order Placed,,Starlink,Satellite,MSG 01,,,,,No,
MSG 01,Primary,No Service Available,nan,NSA,,MSG 01,,,,,No,
MSG 01,Secondary,Ready for Enablement,174.126.108.162,EB2-Sparklight Cable,150.0M x 15.0M,MSG 01,,,,,No,
MSN 01,Primary,Enabled,173.166.199.197,Comcast Workplace,750.0M x 35.0M,MSN 01,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MSN 01,Secondary,Enabled,75.17.98.129,AT&T Broadband II,300.0M x 300.0M,MSN 01,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
MSN 02,Primary,Enabled,173.235.182.210,C Spire,300.0M x 300.0M,MSN 02,C Spire,300.0M x 300.0M,C Spire,300.0M x 300.0M,Yes,"WAN 1
C Spire
300.0M x 300.0M
WAN 2
Comcast Workplace
750.0M x 35.0M..."
MSN 02,Secondary,Enabled,173.166.198.117,Comcast Workplace,750.0M x 35.0M,MSN 02,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
C Spire
300.0M x 300.0M
WAN 2
Comcast Workplace
750.0M x 35.0M..."
MTB 01,Primary,Enabled,47.47.128.254,Spectrum ,750.0M x 35.0M,MTB 01,Spectrum,600.0M x 35.0M,Spectrum ,750.0M x 35.0M,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
Digi
Cell..."
MTB 01,Secondary,No Service Available,NaN,NSA,,MTB 01,Digi,Cell,,,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
Digi
Cell..."
MTM 01,Primary,Enabled,47.47.186.114,Spectrum,750.0M x 35.0M,MTM 01,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
VZW Cell
Cell..."
MTM 01,Secondary,Information/Approval Needed From Sponsor,NaN,NaN,,MTM 01,VZW Cell,Cell,,,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
VZW Cell
Cell..."
MTM 02,Primary,Enabled,137.26.72.118,Spectrum,750.0M x 35.0M,MTM 02,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 2
Unknown..."
MTM 02,Secondary,No Service Available,NaN,NSA,,MTM 02,Unknown,,,,Yes,"WAN 2
Unknown..."
NCC 01,Primary,Enabled,173.95.192.126,Spectrum,750.0M x 35.0M,NCC 01,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 01,Secondary,Enabled,107.210.72.33,AT&T Broadband II,300.0M x 300.0M,NCC 01,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 02,Primary,Enabled,24.199.234.50,Spectrum,750.0M x 35.0M,NCC 02,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 02,Secondary,Enabled,76.248.72.49,AT&T Broadband II,300.0M x 300.0M,NCC 02,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 03,Primary,Enabled,98.101.86.162,Spectrum,750.0M x 35.0M,NCC 03,AT&T Broadband II,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Spectrum
750.0M x 35.0M..."
NCC 03,Secondary,Enabled,99.107.120.9,AT&T Broadband II,1000.0M x 1000.0M,NCC 03,Spectrum,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Spectrum
750.0M x 35.0M..."
NCC 04,Primary,Enabled,66.57.20.130,Spectrum,750.0M x 35.0M,NCC 04,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 04,Secondary,Enabled,107.210.72.41,AT&T Broadband II,300.0M x 300.0M,NCC 04,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 05,Primary,Enabled,173.42.44.150,Spectrum,750.0M x 35.0M,NCC 05,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 05,Secondary,Enabled,99.58.163.241,AT&T Broadband II,300.0M x 300.0M,NCC 05,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 06,Primary,Enabled,66.57.131.38,Spectrum,750.0M x 35.0M,NCC 06,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 06,Secondary,Enabled,108.252.40.65,AT&T Broadband II,300.0M x 300.0M,NCC 06,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 07,Primary,Enabled,173.42.17.126,Spectrum,750.0M x 35.0M,NCC 07,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
NCC 07,Secondary,Enabled,107.210.91.161,AT&T Broadband II,300.0M x 300.0M,NCC 07,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
